study,design_group,scenario_id,outcome_name,n,mean,stddev,mcse,min,p05,median,p95,max
controlled-harness,all,copilot-cli-copilot-route,accepted_task_fraction,3200,0.21265625,0.38978734428562345,0.006890531859126495,0.0,0.0,0.0,1.0,1.0
controlled-harness,all,copilot-cli-copilot-route,allocated_cash_cost_usd_per_task,3200,11.895010198599696,8.427047701153658,0.14897056437170644,0.14650000000000002,0.2667279072692254,12.758106890128829,26.103449898408687,29.03018260319542
controlled-harness,all,copilot-cli-copilot-route,budget_exhausted_fraction,3200,0.931875,0.185769733468844,0.0032839759568759285,0.0,0.5,1.0,1.0,1.0
controlled-harness,all,copilot-cli-copilot-route,cache_hit_fraction,3200,0.05188414522367288,0.047565432366829925,0.0008408459944163883,0.0,0.0021872044498443626,0.029999329580162028,0.15926830034203943,0.20053059994097827
controlled-harness,all,copilot-cli-copilot-route,cache_read_tokens_per_task,3200,132859.7203125,95191.25387431601,1682.7595281044767,0.0,13680.0,102925.0,301350.0,391065.0
controlled-harness,all,copilot-cli-copilot-route,cache_write_tokens_per_task,3200,133089.5734375,111892.49374975584,1977.9985273581435,1472.5,7362.5,134250.0,411292.5,600082.5
controlled-harness,all,copilot-cli-copilot-route,compactions_per_task,3200,0.99359375,1.211657153567583,0.021419274744020698,0.0,0.0,0.75,4.0,4.5
controlled-harness,all,copilot-cli-copilot-route,economic_loss_usd_per_task,3200,145.29317110693816,86.73189097793264,1.5332177063907126,0.2783142495363784,1.4641999028931134,166.4699807361931,255.09208809816292,283.52935607094435
controlled-harness,all,copilot-cli-copilot-route,external_quality_score,3200,0.27279926753443035,0.3109351338132857,0.005496608540713022,0.0,0.0007284832850848634,0.04838581060254568,0.8023955972927633,0.8506515721812518
controlled-harness,all,copilot-cli-copilot-route,human_minutes_per_task,3200,19.546581596686718,10.179763907649177,0.17995450224942,0.0225,0.07,22.06931819606156,32.90917511593528,45.25646699042838
controlled-harness,all,copilot-cli-copilot-route,marginal_cash_cost_usd_per_task,3200,11.765010198599695,8.42704770115366,0.14897056437170647,0.0165,0.13672790726922546,12.628106890128826,25.973449898408685,28.90018260319542
controlled-harness,all,copilot-cli-copilot-route,model_calls_per_task,3200,27.334921875,13.580935647461034,0.2400792922794453,4.25,6.25,27.25,50.75,55.0
controlled-harness,all,copilot-cli-copilot-route,normalized_cost_per_verified_work,3200,11.416152599637496,7.224506077352263,0.12771243095048024,0.0022265139962910274,0.011713599223144907,13.317598458895446,20.407367047853036,22.682348485675547
controlled-harness,all,copilot-cli-copilot-route,normalized_provider_cost,3200,11.864331419357377,8.355821231252657,0.147711446375032,0.21344492533732526,0.3445319947715124,12.677136488623686,25.96461656243893,28.914515936528755
controlled-harness,all,copilot-cli-copilot-route,normalized_wall_time,3200,4.659391054508459,2.042449919747721,0.03610575471218833,0.4268453523171587,0.8976224350553959,4.6834008780382215,7.467080457721342,15.382413986041875
controlled-harness,all,copilot-cli-copilot-route,output_tokens_per_task,3200,18953.915672782518,18167.82067765591,321.16473001379177,1029.2461773153145,1758.4923503723603,15630.32345582985,61221.10042701266,68769.69946035912
controlled-harness,all,copilot-cli-copilot-route,policy_violation_fraction,3200,0.001484375,0.019209520950276348,0.00033957956318213646,0.0,0.0,0.0,0.0,0.25
