trajectory_id,model,strategy_id,source_contrast_id,source_scenario_id,source_role,main_call_count,compaction_count,compaction_positions_json,prompt_sequence_tokens_json,minimum_prompt_tokens,mean_prompt_tokens,maximum_prompt_tokens,provider_cost_per_attempt_usd,onset_tokens,excess_token_call_area,normalized_excess_auc,normalization_formula,source_type
luna-cap_200k_uncached-o1000,luna,cap_200k_uncached,long-cap-200k-uncached,long-cap-200k-uncached-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.5952,1000,4461000,1.14384615384615,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_uncached-o4000,luna,cap_200k_uncached,long-cap-200k-uncached,long-cap-200k-uncached-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.5952,4000,4344000,1.11384615384615,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_uncached-o16000,luna,cap_200k_uncached,long-cap-200k-uncached,long-cap-200k-uncached-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.5952,16000,3876000,0.993846153846154,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_uncached-o32000,luna,cap_200k_uncached,long-cap-200k-uncached,long-cap-200k-uncached-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.5952,32000,3252000,0.833846153846154,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_uncached-o113000,luna,cap_200k_uncached,long-cap-200k-uncached,long-cap-200k-uncached-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.5952,113000,940000,0.241025641025641,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_uncached-o200000,luna,cap_200k_uncached,long-cap-200k-uncached,long-cap-200k-uncached-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.5952,200000,0,0,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_uncached-o400000,luna,cap_200k_uncached,long-cap-200k-uncached,long-cap-200k-uncached-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.5952,400000,0,0,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_uncached-o600000,luna,cap_200k_uncached,long-cap-200k-uncached,long-cap-200k-uncached-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.5952,600000,0,0,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_read-o268p617647,luna,cap_200k_cache_read,compaction-input-cache-read-sensitivity,compaction-input-cache-read-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.4512,268.617647,4489523.911767,1.15115997737615,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_read-o1000,luna,cap_200k_cache_read,compaction-input-cache-read-sensitivity,compaction-input-cache-read-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.4512,1000,4461000,1.14384615384615,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_read-o4000,luna,cap_200k_cache_read,compaction-input-cache-read-sensitivity,compaction-input-cache-read-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.4512,4000,4344000,1.11384615384615,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_read-o16000,luna,cap_200k_cache_read,compaction-input-cache-read-sensitivity,compaction-input-cache-read-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.4512,16000,3876000,0.993846153846154,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_read-o32000,luna,cap_200k_cache_read,compaction-input-cache-read-sensitivity,compaction-input-cache-read-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.4512,32000,3252000,0.833846153846154,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_read-o113000,luna,cap_200k_cache_read,compaction-input-cache-read-sensitivity,compaction-input-cache-read-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.4512,113000,940000,0.241025641025641,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_read-o200000,luna,cap_200k_cache_read,compaction-input-cache-read-sensitivity,compaction-input-cache-read-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.4512,200000,0,0,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_read-o400000,luna,cap_200k_cache_read,compaction-input-cache-read-sensitivity,compaction-input-cache-read-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.4512,400000,0,0,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_read-o600000,luna,cap_200k_cache_read,compaction-input-cache-read-sensitivity,compaction-input-cache-read-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.4512,600000,0,0,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_write-o268p617647,luna,cap_200k_cache_write,compaction-input-cache-write-sensitivity,compaction-input-cache-write-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.6352,268.617647,4489523.911767,1.15115997737615,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_write-o1000,luna,cap_200k_cache_write,compaction-input-cache-write-sensitivity,compaction-input-cache-write-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.6352,1000,4461000,1.14384615384615,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_write-o4000,luna,cap_200k_cache_write,compaction-input-cache-write-sensitivity,compaction-input-cache-write-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.6352,4000,4344000,1.11384615384615,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_write-o16000,luna,cap_200k_cache_write,compaction-input-cache-write-sensitivity,compaction-input-cache-write-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.6352,16000,3876000,0.993846153846154,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_write-o32000,luna,cap_200k_cache_write,compaction-input-cache-write-sensitivity,compaction-input-cache-write-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.6352,32000,3252000,0.833846153846154,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_write-o113000,luna,cap_200k_cache_write,compaction-input-cache-write-sensitivity,compaction-input-cache-write-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.6352,113000,940000,0.241025641025641,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
