contrast_id,study_family,model,changed_parameter,baseline_scenario_id,comparison_scenario_id,baseline_value,comparison_value,parameter_delta,parameter_change_pct,baseline_provider_cost_usd,comparison_provider_cost_usd,cost_delta_usd,savings_usd,cost_change_pct,point_elasticity,baseline_ai_credits,comparison_ai_credits,ai_credit_delta,call_count_delta,tool_call_delta,compaction_delta,long_context_call_delta,input_uncached_token_delta,cache_read_token_delta,cache_write_token_delta,output_token_delta,cheaper_role,baseline_parameters_json,comparison_parameters_json,interpretation
dynamic-system-10-calls,system_prompt,terra,system_prompt_tokens,dynamic-system-10-calls-terra-baseline,dynamic-system-10-calls-terra-comparison,4000,5000,1000.0,25.0,0.3378,0.3578,0.02,-0.02,5.920663114269,0.236826524571,33.78,35.78,2.0,0,0,0,0,10000,0,0,0,baseline,"{""model_calls"":10,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""dynamic"",""system_prompt_tokens"":4000}","{""model_calls"":10,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""dynamic"",""system_prompt_tokens"":5000}","Marginal cost of 1,000 system tokens when that segment misses the cache on every one of ten calls."
dynamic-system-10-calls,system_prompt,sol,system_prompt_tokens,dynamic-system-10-calls-sol-baseline,dynamic-system-10-calls-sol-comparison,4000,5000,1000.0,25.0,0.6556,0.6956,0.04,-0.04,6.101281269067,0.244051250763,65.56,69.56,4.0,0,0,0,0,10000,0,0,0,baseline,"{""model_calls"":10,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""dynamic"",""system_prompt_tokens"":4000}","{""model_calls"":10,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""dynamic"",""system_prompt_tokens"":5000}","Marginal cost of 1,000 system tokens when that segment misses the cache on every one of ten calls."
system-threshold-cold,threshold_discontinuity,luna,system_prompt_tokens,system-threshold-cold-luna-baseline,system-threshold-cold-luna-comparison,4000,5000,1000.0,25.0,0.051075,0.10205,0.050975,-0.050975,99.804209495839,3.992168379834,5.1075,10.205,5.0975,0,0,0,1,0,0,1000,0,baseline,"{""cache_state"":""cold"",""output_tokens_per_call"":1000,""system_prompt_tokens"":4000}","{""cache_state"":""cold"",""output_tokens_per_call"":1000,""system_prompt_tokens"":5000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a cold prefix."
system-threshold-cold,threshold_discontinuity,terra,system_prompt_tokens,system-threshold-cold-terra-baseline,system-threshold-cold-terra-comparison,4000,5000,1000.0,25.0,0.69075,1.3805,0.68975,-0.68975,99.855229822657,3.994209192906,69.075,138.05,68.975,0,0,0,1,0,0,1000,0,baseline,"{""cache_state"":""cold"",""output_tokens_per_call"":1000,""system_prompt_tokens"":4000}","{""cache_state"":""cold"",""output_tokens_per_call"":1000,""system_prompt_tokens"":5000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a cold prefix."
system-threshold-cold,threshold_discontinuity,sol,system_prompt_tokens,system-threshold-cold-sol-baseline,system-threshold-cold-sol-comparison,4000,5000,1000.0,25.0,1.3775,2.755,1.3775,-1.3775,100.0,4.0,137.75,275.5,137.75,0,0,0,1,0,0,1000,0,baseline,"{""cache_state"":""cold"",""output_tokens_per_call"":1000,""system_prompt_tokens"":4000}","{""cache_state"":""cold"",""output_tokens_per_call"":1000,""system_prompt_tokens"":5000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a cold prefix."
system-threshold-warm,threshold_discontinuity,luna,system_prompt_tokens,system-threshold-warm-luna-baseline,system-threshold-warm-luna-comparison,4000,5000,1000.0,25.0,0.00519,0.00982,0.00463,-0.00463,89.210019267823,3.568400770713,0.519,0.982,0.463,0,0,0,1,0,1000,0,0,baseline,"{""cache_state"":""warm"",""output_tokens_per_call"":1000,""system_prompt_tokens"":4000}","{""cache_state"":""warm"",""output_tokens_per_call"":1000,""system_prompt_tokens"":5000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a warm prefix."
system-threshold-warm,threshold_discontinuity,terra,system_prompt_tokens,system-threshold-warm-terra-baseline,system-threshold-warm-terra-comparison,4000,5000,1000.0,25.0,0.0663,0.127,0.0607,-0.0607,91.553544494721,3.662141779789,6.63,12.7,6.07,0,0,0,1,0,1000,0,0,baseline,"{""cache_state"":""warm"",""output_tokens_per_call"":1000,""system_prompt_tokens"":4000}","{""cache_state"":""warm"",""output_tokens_per_call"":1000,""system_prompt_tokens"":5000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a warm prefix."
system-threshold-warm,threshold_discontinuity,sol,system_prompt_tokens,system-threshold-warm-sol-baseline,system-threshold-warm-sol-comparison,4000,5000,1000.0,25.0,0.1286,0.248,0.1194,-0.1194,92.846034214619,3.713841368585,12.86,24.8,11.94,0,0,0,1,0,1000,0,0,baseline,"{""cache_state"":""warm"",""output_tokens_per_call"":1000,""system_prompt_tokens"":4000}","{""cache_state"":""warm"",""output_tokens_per_call"":1000,""system_prompt_tokens"":5000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a warm prefix."
sequential-tools-4-to-5,tool_invocations,luna,tool_count,sequential-tools-4-to-5-luna-baseline,sequential-tools-4-to-5-luna-comparison,4,5,1.0,25.0,0.019932,0.021745,0.001813,-0.001813,9.095926148906,0.363837045956,1.9932,2.1745,0.1813,1,1,0,0,0,58400,2100,100,baseline,"{""execution_mode"":""sequential"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":4,""tool_result_tokens"":2000}","{""execution_mode"":""sequential"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":5,""tool_result_tokens"":2000}",Marginal fifth tool. Sequential mode adds a provider roundtrip and replays accumulated context; batched mode only enlarges the existing tool exchange.
sequential-tools-4-to-5,tool_invocations,terra,tool_count,sequential-tools-4-to-5-terra-baseline,sequential-tools-4-to-5-terra-comparison,4,5,1.0,25.0,0.19932,0.21745,0.01813,-0.01813,9.095926148906,0.363837045956,19.932,21.745,1.813,1,1,0,0,0,58400,2100,100,baseline,"{""execution_mode"":""sequential"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":4,""tool_result_tokens"":2000}","{""execution_mode"":""sequential"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":5,""tool_result_tokens"":2000}",Marginal fifth tool. Sequential mode adds a provider roundtrip and replays accumulated context; batched mode only enlarges the existing tool exchange.
sequential-tools-4-to-5,tool_invocations,sol,tool_count,sequential-tools-4-to-5-sol-baseline,sequential-tools-4-to-5-sol-comparison,4,5,1.0,25.0,0.39504,0.4309,0.03586,-0.03586,9.077561765897,0.363102470636,39.504,43.09,3.586,1,1,0,0,0,58400,2100,100,baseline,"{""execution_mode"":""sequential"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":4,""tool_result_tokens"":2000}","{""execution_mode"":""sequential"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":5,""tool_result_tokens"":2000}",Marginal fifth tool. Sequential mode adds a provider roundtrip and replays accumulated context; batched mode only enlarges the existing tool exchange.
batched-tools-4-to-5,tool_invocations,luna,tool_count,batched-tools-4-to-5-luna-baseline,batched-tools-4-to-5-luna-comparison,4,5,1.0,25.0,0.01668,0.017325,0.000645,-0.000645,3.86690647482,0.154676258993,1.668,1.7325,0.0645,0,1,0,0,0,0,2100,100,baseline,"{""execution_mode"":""batched"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":4,""tool_result_tokens"":2000}","{""execution_mode"":""batched"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":5,""tool_result_tokens"":2000}",Marginal fifth tool. Sequential mode adds a provider roundtrip and replays accumulated context; batched mode only enlarges the existing tool exchange.
batched-tools-4-to-5,tool_invocations,terra,tool_count,batched-tools-4-to-5-terra-baseline,batched-tools-4-to-5-terra-comparison,4,5,1.0,25.0,0.1668,0.17325,0.00645,-0.00645,3.86690647482,0.154676258993,16.68,17.325,0.645,0,1,0,0,0,0,2100,100,baseline,"{""execution_mode"":""batched"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":4,""tool_result_tokens"":2000}","{""execution_mode"":""batched"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":5,""tool_result_tokens"":2000}",Marginal fifth tool. Sequential mode adds a provider roundtrip and replays accumulated context; batched mode only enlarges the existing tool exchange.
batched-tools-4-to-5,tool_invocations,sol,tool_count,batched-tools-4-to-5-sol-baseline,batched-tools-4-to-5-sol-comparison,4,5,1.0,25.0,0.33,0.3425,0.0125,-0.0125,3.787878787879,0.151515151515,33.0,34.25,1.25,0,1,0,0,0,0,2100,100,baseline,"{""execution_mode"":""batched"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":4,""tool_result_tokens"":2000}","{""execution_mode"":""batched"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":5,""tool_result_tokens"":2000}",Marginal fifth tool. Sequential mode adds a provider roundtrip and replays accumulated context; batched mode only enlarges the existing tool exchange.
tool-count-4-vs-5-sequential-800k,tool_invocations,luna,tool_count,tool-count-4-vs-5-sequential-800k-luna-baseline,tool-count-4-vs-5-sequential-800k-luna-comparison,4,5,1.0,25.0,0.534324,0.56789,0.033566,-0.033566,6.281956266235,0.251278250649,53.4324,56.789,3.3566,1,1,0,1,0,808400,2100,100,baseline,"{""execution_mode"":""sequential"",""final_output_tokens"":500,""initial_prompt_tokens"":800000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":4,""tool_result_tokens"":2000}","{""execution_mode"":""sequential"",""final_output_tokens"":500,""initial_prompt_tokens"":800000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":5,""tool_result_tokens"":2000}",Conditional 800k-context stress case for the marginal fifth sequential tool. Every request uses long-context rates and the extra roundtrip replays accumulated context.
