contrast_id,study_family,model,volume_executions,baseline_provider_cost_usd,comparison_provider_cost_usd,cost_delta_usd,savings_usd,baseline_ai_credits,comparison_ai_credits,ai_credit_delta
tool-count-4-vs-5-sequential-800k,tool_invocations,terra,1000000,5343240.0,5678900.0,335660.0,-335660.0,534324000.0,567890000.0,33566000.0
tool-count-4-vs-5-sequential-800k,tool_invocations,sol,1000,10681.08,11351.800000000001,670.720000000001,-670.720000000001,1068108.0,1135180.0,67072.00000000012
tool-count-4-vs-5-sequential-800k,tool_invocations,sol,1000000,10681080.0,11351800.0,670720.0,-670720.0,1068108000.0,1135180000.0,67072000.0
stable-tool-schema-10-calls,tool_schema,luna,1000,27.5,27.93,0.43,-0.43,2750.0,2793.0,43.0
stable-tool-schema-10-calls,tool_schema,luna,1000000,27500.0,27930.0,430.0,-430.0,2750000.0,2793000.0,43000.0
stable-tool-schema-10-calls,tool_schema,terra,1000,275.0,279.3,4.3,-4.3,27500.0,27930.0,430.000000000001
stable-tool-schema-10-calls,tool_schema,terra,1000000,275000.0,279300.0,4300.0,-4300.0,27500000.0,27930000.0,430000.0
stable-tool-schema-10-calls,tool_schema,sol,1000,530.0,538.6,8.6,-8.6,53000.0,53860.0,860.000000000002
stable-tool-schema-10-calls,tool_schema,sol,1000000,530000.0,538600.0,8600.0,-8600.0,53000000.0,53860000.0,860000.0
output-1k-one-call,output,luna,1000,13.1,14.3,1.2,-1.2,1310.0,1430.0,120.0
output-1k-one-call,output,luna,1000000,13100.0,14300.0,1200.0,-1200.0,1310000.0,1430000.0,120000.0
output-1k-one-call,output,terra,1000,131.0,143.0,12.0,-12.0,13100.0,14300.0,1200.0
output-1k-one-call,output,terra,1000000,131000.0,143000.0,12000.0,-12000.0,13100000.0,14300000.0,1200000.0
output-1k-one-call,output,sol,1000,260.0,280.0,20.0,-20.0,26000.0,28000.0,2000.0
output-1k-one-call,output,sol,1000000,260000.0,280000.0,20000.0,-20000.0,26000000.0,28000000.0,2000000.0
retain-tool-results-4-tools,tool_results,luna,1000,17.692,19.932,2.24,-2.24,1769.2,1993.2,224.0
retain-tool-results-4-tools,tool_results,luna,1000000,17692.0,19932.0,2240.0,-2240.0,1769200.0,1993200.0,224000.0
retain-tool-results-4-tools,tool_results,terra,1000,176.92,199.32,22.4,-22.4,17692.0,19932.0,2240.0
retain-tool-results-4-tools,tool_results,terra,1000000,176920.0,199320.0,22400.0,-22400.0,17692000.0,19932000.0,2240000.0
retain-tool-results-4-tools,tool_results,sol,1000,350.24,395.04,44.8,-44.8,35024.0,39504.0,4480.000000000001
retain-tool-results-4-tools,tool_results,sol,1000000,350240.0,395040.0,44800.0,-44800.0,35024000.0,39504000.0,4480000.0
tool-result-size-plus-1k,tool_results,luna,1000,19.932,21.052,1.12,-1.12,1993.2,2105.2,112.0
tool-result-size-plus-1k,tool_results,luna,1000000,19932.0,21052.0,1120.0,-1120.0,1993200.0,2105200.0,112000.0
tool-result-size-plus-1k,tool_results,terra,1000,199.32,210.52,11.2,-11.2,19932.0,21052.0,1120.000000000002
tool-result-size-plus-1k,tool_results,terra,1000000,199320.0,210520.0,11200.0,-11200.0,19932000.0,21052000.0,1120000.0
tool-result-size-plus-1k,tool_results,sol,1000,395.04,417.44,22.4,-22.4,39504.0,41744.0,2239.999999999998
tool-result-size-plus-1k,tool_results,sol,1000000,395040.0,417440.0,22400.0,-22400.0,39504000.0,41744000.0,2240000.0
tool-result-2k-vs-10k-sequential-4,tool_results,luna,1000,19.932,28.892,8.96,-8.96,1993.2,2889.2,896.0
tool-result-2k-vs-10k-sequential-4,tool_results,luna,1000000,19932.0,28892.0,8960.0,-8960.0,1993200.0,2889200.0,896000.0
tool-result-2k-vs-10k-sequential-4,tool_results,terra,1000,199.32,288.92,89.6,-89.6,19932.0,28892.0,8960.000000000002
tool-result-2k-vs-10k-sequential-4,tool_results,terra,1000000,199320.0,288920.0,89600.0,-89600.0,19932000.0,28892000.0,8960000.0
tool-result-2k-vs-10k-sequential-4,tool_results,sol,1000,395.04,574.24,179.2,-179.2,39504.0,57424.0,17920.0
tool-result-2k-vs-10k-sequential-4,tool_results,sol,1000000,395040.0,574240.0,179200.0,-179200.0,39504000.0,57424000.0,17920000.0
prefix-churn-10-calls,cache_policy,luna,1000,27.5,131.0,103.5,-103.5,2750.0,13100.0,10350.0
prefix-churn-10-calls,cache_policy,luna,1000000,27500.0,131000.0,103500.0,-103500.0,2750000.0,13100000.0,10350000.0
prefix-churn-10-calls,cache_policy,terra,1000,275.0,1310.0,1035.0,-1035.0,27500.0,131000.0,103500.0
prefix-churn-10-calls,cache_policy,terra,1000000,275000.0,1310000.0,1035000.0,-1035000.0,27500000.0,131000000.0,103500000.0
prefix-churn-10-calls,cache_policy,sol,1000,530.0,2600.0,2070.0,-2070.0,53000.0,260000.0,207000.0
prefix-churn-10-calls,cache_policy,sol,1000000,530000.0,2600000.0,2070000.0,-2070000.0,53000000.0,260000000.0,207000000.0
extra-roundtrip-10-to-11,roundtrips,luna,1000,27.5,29.1,1.6,-1.6,2750.0,2910.0,160.0
extra-roundtrip-10-to-11,roundtrips,luna,1000000,27500.0,29100.0,1600.0,-1600.0,2750000.0,2910000.0,160000.0
extra-roundtrip-10-to-11,roundtrips,terra,1000,275.0,291.0,16.0,-16.0,27500.0,29100.0,1600.0
extra-roundtrip-10-to-11,roundtrips,terra,1000000,275000.0,291000.0,16000.0,-16000.0,27500000.0,29100000.0,1600000.0
extra-roundtrip-10-to-11,roundtrips,sol,1000,530.0,560.0,30.0,-30.0,53000.0,56000.0,3000.0
extra-roundtrip-10-to-11,roundtrips,sol,1000000,530000.0,560000.0,30000.0,-30000.0,53000000.0,56000000.0,3000000.0
long-cap-200k-uncached,long_session,luna,1000,1020.4,595.2,-425.2,425.2,102040.0,59520.0,-42519.99999999999
long-cap-200k-uncached,long_session,luna,1000000,1020400.0,595200.0,-425200.0,425200.0,102040000.0,59520000.0,-42520000.0
long-cap-200k-uncached,long_session,terra,1000,9904.0,5952.0,-3952.0,3952.0,990400.0,595200.0,-395200.0
